"ISSN";"Titulo";"Area";"Estrato"
"2237-5953";"(RE) PENSANDO DIREITO";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"2469-4312";"[IN] TRANSITION";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B2"
"1981-030X";"19&20 (RIO DE JANEIRO)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"2053-1583";"2D MATERIALS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"2237-8758";"2º SIMPÓSIO INTERNACIONAL DE ENSINO DE LÍNGUA PORTUGUESA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"2190-5738";"3 BIOTECH";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"2329-7662";"3D PRINTING AND ADDITIVE MANUFACTURING";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"2329-7670";"3D PRINTING AND ADDITIVE MANUFACTURING (ONLINE)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"1619-4500";"4OR (BERLIN)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"1808-1142";"5% ARQUITETURA + ARTE";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"2525-6556";"A (IN)AFASTABILIDADE DOS DIREITOS FUNDAMENTAIS NO ÂMBITO DAS RELAÇÕES PRIVADAS.";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"2236-6695";"A BARRIGUDA: REVISTA CIENTÍFICA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B3"
"2237-0455";"A COMUNICAÇÃO DIALÓGICA ENTRE UNIVERSIDADE E COMUNIDADE";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"1548-7083";"A CONTRACORRIENTE (RALEIGH, N.C.)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B3"
"2594-9675";"A COR DAS LETRAS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"1415-8973";"A COR DAS LETRAS (UEFS)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"0011-7641";"A DEFESA NACIONAL";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"1413-6090";"A ECONOMIA EM REVISTA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B3"
"2236-2029";"A ECONOMIA EM REVISTA - AERE";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B3"
