Título da Obra;isbn;qualis
"""Experiência democrática, sistema político e participação popular""";9790000000000 ;L1
#Democraciabr: o momento político atual;9790000000000 ;L1
. Direito Constitucional, Direitos Humanos e Direito Internacional;9790000000000 ;L2
. Paradiplomacia em Movimento: perspectivas em homenagem aos 20 anos de atuação da Rede Mercocidades;9790000000000 ;L2
?Hacia Una Mutación de la Democracia?;9790000000000 ;L2
¿Atlántico vs. Pacífico?: América Latina y el Caribe, los cambios regionales y los desafíos globales-Anuario de la Integración Regional de America Latina y el Caribe;9803171968 ;L2
¿Hacia dónde va la universidad en el siglo XXI?;9786074019575 ;L3
1964: do golpe à democracia;9788577154036 ;L1
2003-2013: Uma nova política externa;9788583880233 ;L3
2014: año de elecciones;9790000000000 ;L2
2016, o ano do Golpe;9788595000025 ;L1
2016, o ano do golpe;9788595000025 ;L1
21st Century Democracy Promotion in the Americas. Standing up for the Polity;9780000000000 ;L1
25 ANOS DA CONSTITUICãO BRASILEIRA DE 1988: DEMOCRACIA E DIREITOS FUNDAMENTAIS NO ESTADO DEMOCRÁTICO DE DIREITO;9790000000000 ;L1
450 ANOS DO RIO DE JANEIRO - Perspectiva plurais, visões singulares;9788572040099 ;L1
50 anos do Golpe Civil-MilitarA Igreja e a Universidade;9790000000000 ;L1
60 Desafios do Direito - Política, Democracia e Direito;9790000000000 ;L1
9º Encontro da Associação Brasileira de Ciência Política (ABCP), 2014, Brasília - DF. Anais Eletrônicos -;9790000000000 ;NC
A (IN)SEGURANÇA DA ÁFRICA E SUA IMPORTÂNCIA PARA A DEFESA DO BRASIL;9788566094206 ;L3
A (in)segurança da África e sua importância para a defesa do Brasil;9788566094206 ;L3
A África e as Potências Emergentes: Nova Partilha ou Cooperação Sul-Sul?;9790000000000 ;L2
A África no Século XXI: Um Ensaio Acadêmico;9790000000000 ;L2
A AGENDA DE DEFESA DO BRASIL PARA A AMÉRICA DO SUL;9790000000000 ;L3
A América Latina no Mundo, Desenvolvimento regional e governança internacional;9788531414558 ;L2
A Batalha do livre comércio: a construção de redes transnacionais da sociedade civil nas américas;9790000000000 ;L4
A Bolívia no Século XXI: Estado Plurinacional, Mudança de Elites e (Pluri)Nacionalismo;9788547300692 ;L2
A Ciência na Rio+20: uma visão para o futuro - Forum de ciência, tecnologia & inovação para o desenvolvimento sustentável.;9790000000000 ;L2
A Ciência Política no Brasil 1960-2015;9788522518852 ;L3
A CORRUPÇÃO DA OPINIÃO PÚBLICA;9790000000000 ;L2
A Defesa do Ouro Negro da Amazônia Azul;9788559750010 ;L3
A democracia face às desigualdades;9790000000000 ;L1
A Democracia Face às Desigualdades;8579393396 ;L1
A descentralização das ações públicas em debate: contornos da problemática e experiências catarinenses;9788574749204 ;L2
A desconfiança política e os seus impactos na qualidade da democracia;8531414180 ;L4
A ditadura que mudou o Brasil: 50 anos do golpe de 1964;9790000000000 ;L2
A economia de Angola nos espaços austrais;9790000000000 ;L1
A EDUCAÇÃO REFLEXIVA NA TEORIA SOCIAL DE PIERRE BOURDIEU;9790000000000 ;L1
A Educaçâo Superior na América Latina e os desafios do século XXI;9790000000000 ;L2
A EMPRESA RADAR E A ESPECULAÇÃO COM TERRAS NO BRASIL;9790000000000 ;L1
A Era Chávez e a Venezuela no Tempo Presente;9790000000000 ;L4
À espera da verdade: empresários, juristas e elite transnacional ¿ histórias de civis que fizeram a ditadura militar;9788579393471 ;L1
A estratégia naval brasileira no pós-Guerra Fria. Uma análise comparativa com foco em Submarinos;9788585966256 ;L3
A forma da República: da Constituição Mista ao Estado.;9788578277147 ;L1
A formação técnica em Minas Gerais: análise da oferta e demanda- 2015;9790000000000 ;L1
A Guerra e a Formação dos Estados Nacionais Contemporâneos;9790000000000 ;L1
A história das ciências e os saberes na Amazônia. Séculos XIX e XX;9788599274507 ;L1
A Identidade Nacional em Questão;9788539107773 ;L2
A Independência Norte-Americana: Guerra, Revolução e Logística;9790000000000 ;L3
A internacional do capital financeiro;9788576432587 ;L1
